id,type,floor,status,installed,desc,location/0,location/1,addedBy
A81758FFFE046433,Elsys ERS Sound,4,installed,2020-06-06T00:00:00.000Z,Attached to old video projector mount,65.05765,25.46897,risto
A81758FFFE030F6A,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Tellus Cube 6,65.05875,25.46565,jeremias
A81758FFFE031018,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,2nd grey pillar from door 2T,65.05884,25.46823,jeremias
A81758FFFE046500,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,Next to yellow guide signs,65.06081,25.46679,jeremias
A81758FFFE031009,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,"Opposite to elevator, next to green door",65.05842,25.46385,jeremias
A81758FFFE031087,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,"Yellow cable channel next to ""Tekniikan aula""",65.05850,25.46674,jeremias
A81758FFFE0464F8,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,Main Hallway in front of OP-Pohjola-sali,65.05994,25.46657,jeremias
A81758FFFE030F8B,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Yellow cable channel next to entrance G1,65.05961,25.46600,jeremias
A81758FFFE030F68,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Hallway Yellow cable channel in front of PR161,65.05963,25.46852,jeremias
A81758FFFE03100D,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,yellow cable channel In front of X entrance,65.05998,25.46886,jeremias
A81758FFFE030F93,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,opposite to TT1116 above green door,65.05965,25.46385,jeremias
A81758FFFE0464AC,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,Coat rack next to white round pillar,65.05688,25.46774,jeremias
A81758FFFE031090,Elsys ERS CO2,4,installed,2020-06-06T00:00:00.000Z,North-end lobby,65.05807,25.46889,jeremias
A81758FFFE03100F,Elsys ERS CO2,3,installed,2020-06-06T00:00:00.000Z,3rd floor center lobby,65.05785,25.46883,jeremias
A81758FFFE0464B3,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,CAVE backside of elevator wall,65.05776,25.46879,jeremias
A81758FFFE031033,Elsys ERS CO2,4,installed,2020-06-06T00:00:00.000Z,Above door HR425,65.05719,25.46788,jeremias
A81758FFFE046338,Elsys ERS Sound,1,installed,2020-06-06T00:00:00.000Z,BF119-3 Above video projector,65.05967,25.46340,jeremias
A81758FFFE031020,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,TM109 backwall,65.05988,25.46846,jeremias
A81758FFFE030FD4,Elsys ERS CO2,2,installed,2020-06-06T00:00:00.000Z,PK25 next to window,65.06106,25.46617,jeremias
A81758FFFE030FB2,Elsys ERS CO2,2,installed,2020-06-06T00:00:00.000Z,PK264 backwall,65.06113,25.46619,jeremias
A81758FFFE031062,Elsys ERS CO2,3,installed,2020-06-06T00:00:00.000Z,PK307 Corner pillar,65.06141,25.46720,jeremias
A81758FFFE03101F,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Against Napa wall row 10,65.05947,25.46605,jeremias
A81758FFFE031077,Elsys ERS CO2,1,installed,2020-06-06T00:00:00.000Z,Against L1 wall row 3,65.05946,25.46647,jeremias
